timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
107788,9.0429,1.5036,-1.3360,-0.3645,0.0301,-0.2446,seizure
107812,9.2799,1.4102,-1.0558,-0.2899,0.3651,-0.3837,seizure
107836,10.6710,2.5139,-0.9098,-0.2102,0.6081,-0.5542,seizure
107860,10.3860,0.8739,-0.3879,-0.0914,0.1556,-0.3072,seizure
107884,12.2823,2.2482,-0.0670,-0.2438,-0.2332,-0.4018,seizure
107908,12.0404,3.1388,0.1006,-0.1095,-1.2388,-0.4322,seizure
107932,7.1682,1.2977,-0.8643,-0.2942,-1.0850,-0.1066,seizure
107956,6.9480,1.6161,-1.5514,-0.6595,-0.0663,-0.0349,seizure
107980,8.2001,2.6360,-1.3384,-0.4940,0.3834,-0.3067,seizure
108004,8.7364,1.7765,-0.9290,-0.4623,0.6534,-0.1863,seizure
108028,11.3078,1.0942,0.3519,-0.6267,0.7424,-0.1122,seizure
108052,12.8066,-2.0542,1.6113,-0.6097,0.3552,0.0362,seizure
108076,11.6310,2.5786,0.0096,-1.2441,-0.5484,0.4612,seizure
108100,9.8737,1.2210,-0.7087,-1.3731,-0.7885,0.8444,seizure
108124,10.0365,4.5801,-1.4078,-1.1463,-0.7549,0.7165,seizure
108148,10.5034,6.0310,-1.3431,0.0208,-0.9313,0.6488,seizure
108172,10.0963,-0.6297,-1.1564,0.4690,-1.2055,-0.1953,seizure
108196,8.5258,-1.4533,-1.4246,-0.6211,-0.5239,-0.3064,seizure
108220,8.9711,1.2234,-2.3846,-0.6400,-0.0192,0.2848,seizure
108244,6.5841,-0.2107,-2.8443,-0.6901,0.5473,0.3357,seizure
108268,11.8010,-0.6871,1.3384,-1.3813,1.1930,0.3930,seizure
108292,8.6311,2.2673,-1.9585,-1.5146,0.8359,0.2318,seizure
108316,9.9647,4.2186,-0.4477,-1.4922,0.7301,0.8623,seizure
108340,9.6774,3.1580,-0.5387,-1.5489,0.3952,1.1927,seizure
108364,8.5258,1.2881,-1.3216,-1.1485,0.4839,1.0206,seizure
108388,9.4667,0.8284,-0.2155,-0.7778,1.1375,0.0810,seizure
108412,11.2527,0.0622,1.3838,-0.9081,1.1834,-0.2566,seizure
108436,11.1211,-0.0192,3.0502,-1.2263,0.4666,-0.2563,seizure
108460,10.6518,1.2713,2.2386,-1.5892,-0.2124,-0.0709,seizure
108484,10.3980,1.9465,-0.1939,-1.2913,-0.2052,0.1428,seizure
108508,9.3302,1.6807,-0.0646,-0.6624,0.1804,0.0727,seizure
108532,9.3182,0.9242,0.3065,-0.3922,0.3301,-0.0943,seizure
108556,9.8904,0.5555,0.5267,-0.1879,0.3139,-0.0250,seizure
108580,10.3166,1.4126,1.2833,-0.1772,0.3517,0.1082,seizure
108604,9.7300,1.0534,1.3264,-0.1865,0.1447,0.1919,seizure
108628,9.3781,0.4573,1.2641,-0.1503,0.2148,0.1783,seizure
108652,9.3446,0.6656,0.8811,-0.2382,0.2785,0.1572,seizure
108676,9.7181,0.7973,0.7949,-0.2651,0.3115,0.2246,seizure
108700,9.6726,1.0989,0.7733,-0.3147,0.3262,0.2483,seizure
108724,9.9455,0.8212,0.9936,-0.2838,0.2403,0.1879,seizure
108748,10.4124,0.9433,1.1875,-0.3182,0.1607,0.2108,seizure
108772,10.1323,0.4812,1.2450,-0.3062,0.0493,0.1612,seizure
108796,10.1514,0.4286,1.2450,-0.2577,-0.0669,-0.0293,seizure
108820,10.5512,0.7805,1.3431,-0.2276,-0.2353,-0.1210,seizure
108844,10.0245,1.0798,0.8739,-0.1775,-0.3520,-0.0775,seizure
108868,9.4427,1.1803,0.6369,0.0013,-0.2577,-0.1370,seizure
108892,9.3230,0.7829,0.6560,0.0336,-0.1212,-0.1444,seizure
108916,9.5577,0.7829,0.7566,-0.0690,0.0352,-0.1215,seizure
108940,9.7348,0.9768,0.5435,-0.1199,-0.0061,-0.0989,seizure
108964,9.1698,0.9266,0.0790,-0.0823,0.0661,-0.1042,seizure
108988,9.3182,0.7039,0.3352,-0.0477,0.3051,-0.0490,seizure
109012,10.2065,0.5818,1.0822,-0.0965,0.3413,-0.0101,seizure
109036,10.3358,0.7446,1.4078,-0.1114,0.1796,-0.0408,seizure
109060,10.1538,0.7278,1.1779,-0.0746,0.0131,-0.0663,seizure
109084,9.6965,0.3328,0.7829,-0.1146,0.1370,0.0384,seizure
109108,8.9615,0.4142,-0.0455,-0.2209,0.2257,-0.0874,seizure
109132,7.2018,0.9361,-1.9417,-0.3544,0.6563,-0.0765,seizure
109156,6.1339,2.1069,-3.0574,-0.3797,1.1895,-0.0056,seizure
109180,6.4045,3.3806,-2.0016,-0.0738,2.0712,0.1543,seizure
109204,7.5920,3.8403,6.5481,0.7525,3.1115,0.2209,seizure
109228,20.0179,-1.5490,18.2318,1.4184,2.3028,-0.5609,seizure
109252,18.1361,-2.5594,11.4874,0.3088,-1.8074,-0.9848,seizure
